what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1632443629260
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1632443629260
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1632443629260
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1632443629260
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1632443629260
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1632443629260
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1632443629260
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1632443629260
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1632443629260
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1632443629260
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1632443629261
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1632443629261
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1632443629261
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1632443629261
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1632443629261
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1632443629261
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1632443629261
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1632443629261
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1632443629262
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1632443629262
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1632443629262
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1632443629262
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1632443629262
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1632443629262
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1632443629262
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1632443629262
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1632443629262
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1632443629262
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1632443629263
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1632443629263
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1632443629263
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1632443629263
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1632443629263
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1632443629263
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1632443629263
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1632443629263
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1632443629263
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1632443629263
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1632443629263
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1632443629263
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1632443629263
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1632443629263
os,sysinfo,,,"win32",1632443629268
arch,sysinfo,,,"x86_64",1632443629268
ws,sysinfo,,,"win32",1632443629268
locale,sysinfo,,,"pt_BR",1632443629268
processors,sysinfo,,,"8",1632443629268
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1632443629268
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1632443629268
java.specification.name,sysinfo,,,"Java Platform API Specification",1632443629268
java.specification.vendor,sysinfo,,,"Oracle Corporation",1632443629268
java.specification.version,sysinfo,,,"1.8",1632443629268
java.vendor,sysinfo,,,"Oracle Corporation",1632443629268
java.version,sysinfo,,,"1.8.0_151",1632443629268
java.vm.info,sysinfo,,,"mixed mode",1632443629268
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1632443629268
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1632443629268
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1632443629268
java.vm.specification.version,sysinfo,,,"1.8",1632443629268
java.vm.vendor,sysinfo,,,"Oracle Corporation",1632443629268
java.vm.version,sysinfo,,,"25.151-b12",1632443629268
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1632443629947
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1632443630001
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1632443630027
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1632443630049
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1632443630068
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1632443630081
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1632443630141
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1632443630149
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1632443630155
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1632443630182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443645186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443671057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1632443671078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443683573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443725187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1632443725207
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1632443726792
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1632443726795
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1632443726817
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1632443726818
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1632443726941
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1632443726947
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1632443728880
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1632443728882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443729034
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1632443730425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443730614
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1632443730628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1632443730628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443744839
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1632443763818
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1632443763818
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1632443763865
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1632443763897
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1632443763912
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1632443765533
started,bundle,org.eclipse.jst.j2ee.web,1.1.404.v201102030400,"org.eclipse.jst.j2ee.web",1632443765549
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1632443765549
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1632443765565
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1632443765565
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1632443765761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443768207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443772770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443781953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443786435
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1632443798904
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1632443798965
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1632443799023
error,log,,,"Failed to retrieve default libraries for C:\\Program Files\\Java\\jdk1.8.0_282",1632443823411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443827706
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1632443830079
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1632443830086
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1632443831010
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1632443831174
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1632443835756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443841813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443855826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1632443855836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1632443855836
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1632443860569
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1632443860601
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1632443864530
opened,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1632443865763
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1632443865781
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1632443870691
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1632443871853
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1632443871971
error,log,,,"Error starting server Tomcat v7.0 Server at localhost",1632443872216
error,log,,,"The specified JRE installation does not exist",1632443872219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443872257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443873406
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1632443879106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443879310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443881182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443885742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443909610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443912641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443914987
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1632443915728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443916117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443917354
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1632443917416
error,log,,,"The specified JRE installation does not exist",1632443917479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443917573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443922086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443927691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443970878
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1632443977323
error,log,,,"The specified JRE installation does not exist",1632443977335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443977367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443981038
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1632443984733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443986489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443989451
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1632443989454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1632443989454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443995992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632443997719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444003586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444004842
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1632444012316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444018295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444021595
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1632444022712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444024967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444025966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1632444025979
closed,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1632444026091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444029098
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1632444035208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444035356
opened,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1632444037810
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1632444037821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444039669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444043831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1632444056382
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1632444058038
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1632444058139
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1632444058208
error,log,,,"The JRE could not be found. Edit the server and change the JRE location.",1632444058231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444058259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444060939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444065009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444137032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444141168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444195020
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1632444197736
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1632444197745
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1632444197792
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1632444197847
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1632444197899
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1632444197916
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1632444197920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1632444198246
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/mylyn/update/helios/content.xml.",1632444217141
